  0-34100-17340,  LABATT BLUE 18PK BTLS
  0-34100-57217,  LABATT BLUE 18PK CANS
  0-34100-57341,  LABATT BLUE 28PK BTLS
  0-62067-04909,  LABATT BLUE 30PK CANS
  0-34100-57505,  LABATT BLUE 6P/11.5Z REF
  0-34100-57570,  LABATT BLUE 6P/16Z CANS
  0-18200-12997,  LABATT BLUE LGHT LIME BTL
  0-18200-14990,  LABATT BLUE LGHT LIME CAN
  0-62067-05181,  LABATT BLUE LIGHT CAN
  0-18200-00400,  LABATT BLUE LIGHT LIME
  0-62067-38042,  LABATT BLUE LT 12P/11.5Z
  0-62067-38055,  LABATT BLUE LT 12P/12Z CN
  0-34100-57256,  LABATT BLUE LT 18PK BTLS
  0-34100-57340,  LABATT BLUE LT 18PK CANS
  0-71990-09527,  LABATT BLUE LT 24PK CANS
  0-62067-05109,  LABATT BLUE LT 28PK BTLS
  0-62067-05146,  LABATT BLUE LT 30PK CANS
  0-62067-04943,  LABATT BLUE LT 6/11.5 REF
  0-62067-04972,  LABATT BLUE LT 6P/16Z CNS
  0-18200-96044,  LABATT BLUE LT LIME 18PK
  0-18200-17998,  LABATT BLUE LT LIME 6PK
  0-52300-00035,  LABATT BLUE NA 12PK CANS
  0-52300-02545,  LABATT BLUE NA 6PK BTLS
  0-68213-05418,  LABATT BREW COLLECTION
  0-71990-00000,  LABATT CANANDIAN PILS
  0-62067-51955,  LABATT ICE 12P/11.5 REF
  0-62067-05143,  LABATT ICE 6P/11.5Z REF
  0-18200-00962,  LABATT MAXIMUM SNGL CAN
  6-81745-11130,  LAGUNITAS A LITTLE SUMPIN
  6-84105-00203,  LAGUNITAS DOGTWN ALE 6PK
  6-49440-50180,  LAGUNITAS HOP STOOPID
  6-87151-56002,  LAGUNITAS IPA 6PK NR
  6-87151-56003,  LAGUNITAS MAXIM 6PK
  6-87151-56004,  LAGUNITAS PILS 6PK NR
  6-53792-00318,  LAGUNITAS SEASONAL
  6-87151-56007,  LAKE PLACID 46ER IPA 6/12
  0-72783-12100,  LAKE PLACID CAMP COLLECTI
  6-87151-90002,  LAKE PLACID SSNL 6PK
  6-87151-90007,  LAKE PLACID UBU ALE 6PK
  0-78250-00382,  LANDSHARK LAGER 12PK
  0-80020-31800,  LANDSHARK LAGER 12PK CANS
  6-89076-61165,  LANDSHARK LAGER 6PK
  6-28586-52817,  LEINENKUGEL HERITAGE SSNL
  7-00879-34006,  LEINENKUGEL LEM BRY SHAND
  0-83783-38000,  LEINENKUGEL SEASONAL PACK
  7-00879-38006,  LEINENKUGEL SUNSET WHEAT
  0-77644-90370,  LIDESTRI RED SANGRIA
  0-82000-75628,  LIDESTRI WHITE SANGRIA
  6-00374-31050,  LINDEMANS FRAMBOISE LAMBI
  6-37072-10117,  LINDEMANS GIFT BOX 2PK
  6-08728-50281,  LINDEMANS KREIK SS
  6-08728-50283,  LINDEMANS KRIEK
  6-08782-50062,  LINDEMANS PECHE LAMBIC
  6-08782-50064,  LINDEMANS PECHE LAMBIC
  6-08782-50071,  LINDEMANS POMME
  6-08782-50072,  LINDEMANS POMME LAMBIC
  6-08782-50075,  LINDEMANS RASPBERY LAMBIC
  0-18200-53265,  LONG TRAIL ALE 12PK BTLS
  0-18200-96121,  LONG TRAIL ALE 6PK BTLS
  0-34100-15505,  LONG TRAIL DBLE BAG 6P/12
  0-34100-15636,  LONG TRAIL IPA 6PK BTLS
  0-34100-74805,  LONG TRAIL SEASONAL 6P/12
  0-62067-02723,  LONG TRAIL SURVIVAL VRTY
  7-02770-01301,  LOST COAST GREAT WHITE
